,Name,Summary,type
298,Half-Human Half-Phantom ,"You are neither dead nor alive, yet both at once.
",Humanoids
299,Half-Kobold ,"The strength of a kobold and a human combined.
",Humanoids
300,Half-Magala ,"Your Gore Magala heritage gives you strong physical abilities and the distinct mantle of your ancestor.
",Humanoids
301,Half-Marilith ,"
",Humanoids
302,Half-Minotaur ,"The further hybridization between bull and humans.
",Humanoids
303,Half-Oni ,"Half-oni tend to either be troubled or calm and collected souls. The ones that are in between usually don't last long.
",Humanoids
304,Half-Ooze ,"These creatures have a humanoid form, but are fluid and appear to be made of solid gel.
",Humanoids
305,Half-Satori ,"The child of a human and a mind reader, you have inherited the appearance of the former, but the power of the latter.
",Humanoids
306,Half-Satori Half-Phantom ,"You're half-undead, and a mind reader. Though your mere existence generates a great deal of mistrust towards your kind, your mixed heritage is still a powerful thing.
",Humanoids
307,Half-Solar ,"Celestials who were created in the like of solars to rid evil on the Material Plane.
",Humanoids
308,Half-Tengu ,"Half human and half demon/spirit/diety
",Humanoids
309,Hallownest Inhabitant ,"The bug-like inhabitants of Hallownest.
",Humanoids
310,Hanyo ,"These humanoids are the offspring of daiyoukai and humans.
",Humanoids
311,Hasani ,"Humanoids formed of charcoal and coal whose fire lights up the Underdark.
",Humanoids
312,Hawlucha ,"Small, bird-like humanoids who love a good fight be it on the ground or in the air.
",Humanoids
313,Hawsfrine ,"A sea dwelling fish-like humanoid native to the oceans of the Feywild
",Humanoids
314,Hellcat ,"Hellcats, or ""ralet'ke"" in their native tongue, are considered magically-adept, long-lived, and very cute by most races' standards. Despite their generally-pacifistic nature, they can hold their own in a fight.
",Humanoids
315,Hero of Time ,"A type of physically-enhanced humanoid, born to slay anything evil.
",Humanoids
316,High Entia ,"Elf-like beings of angelic appearance with a terrifying secret to their ancestry
",Humanoids
317,Hippokin ,"Hippo-like people
",Humanoids
318,Hircus ,"Hircus are humanoid goats with inherent fire magic and weapon training. (Inspired by Undertale)
",Humanoids
319,"Hog Folk, Variant ","A race of humanoid hogs scarred with their repeating history of being enslaved.
",Humanoids
320,"Homunculus, 2nd Variant ","To obtain, something of equal value must be lost. That is alchemy's first law of Equivalent Exchange.
",Humanoids
321,Homunculus ,"Homunculi were created by a large merchant empire called Xerxes.
",Humanoids
322,Homunculus Variant ,"Souless, ageless, sterile creatures created through lost magic.
",Humanoids
323,Hork-Bajir ,"A dinosaur-like, bark eating, pacifistic race
",Humanoids
324,Horned Angel ,"Angels with horns. And scars.
",Humanoids
325,Horned Lavernicus ,"The Horned Lavernicus' inherent traits and gained abilities combine to make them powerful (yet reluctant) foes in their desert home.
",Humanoids
326,Horsefolk ,"Horsefolk are a race who are very similar to humans, but bearing a horselike face, hooves for feet, and a horselike tail.
",Humanoids
327,Hothead ,"Humanoids with literal burning tempers
",Humanoids
328,House-Elf ,"Mistreated fey of servitude
",Humanoids
329,Human (myhero academia) ,"These humans evolved from normal humans but with super powers.
",Humanoids
330,Huncubi ,"Essentially a cambion
",Humanoids
331,Huragok ,"Manufactured biological supercomputers with a healing aura.
",Humanoids
332,Hurwaeti ,"The hurwaeti are an ancient humanoid race distantly related to both sahuagin and lizard men.
",Humanoids
333,Hushabi ,"The Hushabi excels in aggressive hunter-like behavior, usually fighting up close and personal, with a great appreciation of a challenge, never underestimate a Hushabi's claws, since it might come back to bite you later.
",Humanoids
334,Hygeist ,"A being corrupted by a shadow cult and twisted into a demon.
",Humanoids
335,Hylek ,"The Hylek are a species of alchemically-inclined tribal frog-men.
",Humanoids
336,"Hylian, Variant ","A race of humans from the countries of Skyloft, Hyrule and the latter's flooded counterpart, the Great Sea
",Humanoids
337,Hylian ,"The most widespread and influential people of Hyrule proper, the familiar hylian race is comprised of social creatures relatively advanced in the ways of magic and technology.
",Humanoids
338,Hylotl ,"Fish-like creatures that lives mostly under water. Most of them have colorful tiny scales.
",Humanoids
339,Hypasomnies ,"Literally eternal sleepwalkers.
",Humanoids
340,Hypno ,"A pokemon whose most horrifying characteristic is its ability to hypnotize and kidnap you while you sleep.
",Humanoids
341,"Iceborn, Variant ","Swift entities born from frozen waters, iceborn dance about the battlefield and freeze foes in place.
",Humanoids
342,Iceborn ,"Swift entities born from frozen waters, iceborn dance about the battlefield and freeze foes in place.
",Humanoids
343,Iceheart ,"Although otherwise human, you have cold elemental abilities derived from your unusual ancestry.
",Humanoids
344,Igor ,"A race of humanoids who typically serve as professional servants.
",Humanoids
345,Ikuisuus ,"Stout dwarf-like creatures of great age and wisdom.
",Humanoids
346,Immortuos ,"A humanoid whose loved ones were unable to bring them back from death fully, resulting in a twisted creature.
",Humanoids
347,Imposed Corpse ,"Regular looking humanoid with a parasite for brains.
",Humanoids
348,Inchling ,"Inchlings are a race very similar to humans, although they are of a much smaller size.
",Humanoids
349,Incineroar ,"Violent, selfish feline pokemon who employ fire and dirty tactics to win their battles.
",Humanoids
350,Incubus/Succubus ,"Beautiful fiends who thrive on the corruption of mortal souls.
",Humanoids
351,Ink Cursed ,"A race cursed with short lives due to draining ink
",Humanoids
352,"Inkling, Variant ","Aquatic creatures capable of firing ink over large distances.
",Humanoids
353,Inkling ,"Transdimensional, androgynous, identical, and odd beings of Shadowfell
",Humanoids
354,Innocent ,"
",Humanoids
355,Inukasa ,"Inukasas are a race of anthropomorphic dogs who have demonic origins
",Humanoids
356,Inuzuki ,"Dog people who have the biggest hearts
",Humanoids
357,Ionians ,"Warriors with psionic powers from a meteor
",Humanoids
358,Iops ,"
",Humanoids
359,Irken ,"Irkens tend to be fast and smart in a scientific sense.
",Humanoids
360,Irotori ,"Bird-like creatures that cannot fly, but have incredibly colorful feathers.
",Humanoids
361,Iwin ,"Mountain folk with a strange language as well as scales and skin.
",Humanoids
362,Jackalfolk ,"Jackalfolk are a quick and wise race.
",Humanoids
363,Jakello ,"A race of four-armed, cat-like folk.
",Humanoids
364,January ,"Beings from another world whose every breath spurts forth a cloud of fine dust.
",Humanoids
365,Jinchuriki ,"Jinchuriki are creatures of uncanny strength and constitution who function as a living prison or vessel for a powerful entity.
",Humanoids
366,Jiralhanae ,"Jiralhanae, also known as Brutes, are massive mountains of muscle and intelligence.
",Humanoids
367,Jupotes ,"Pugnacious wizard lizards
",Humanoids
368,Jynx ,"Humanoid pokemon whose hypnotic sashaying is as mysterious as it's unique, special language.
",Humanoids
369,Jörmungandr-barn ,"Frightful reptilian naga creatures
",Humanoids
370,Kabaneri ,"Undead humanoids with a burning heart and need for blood
",Humanoids
371,Kabutops ,"Fossils bought back to life with scythe hands
",Humanoids
372,Kalegard ,"Noble warrior peoples who hail from a rough land.
",Humanoids
373,Kamel ,"Kamels are camels that have evolved strangely and ended up being humanoid.
",Humanoids
374,Kapiwaba ,"Kapiwaba are big, furry friends, who are at home among the animals of the forest.
",Humanoids
375,Kapre ,"A large forest dwelling race of humanoids with an almost barky skin.
",Humanoids
376,Karkinos ,"Karkinos have incredible strength and resilience. They have giant claws which they can use as impromptu weapons. Their exoskeletons act as natural armor.
",Humanoids
377,Kemonomimi ,"A human-like race with animal ears and/or tails
",Humanoids
378,Khajiit ,"The Khajiit are a race of feline humanoids from Elsweyr.
",Humanoids
379,Khora ,"A blue skinned people from the Gate of Moon
",Humanoids
380,Kig-Yar ,"An avian race native to Eyan, they serve the Covenant as shock troops, snipers, scouts and defensive back line infantry.
",Humanoids
381,Kikura'aht ,"Chimerical bird-leopard creatures that live high in trees
",Humanoids
382,Kindred ,"As a Kindred, you gain the following features:
",Humanoids
383,Kitjar ,"These fierce feline hunters make great enemies, but even greater allies.
",Humanoids
384,Kitsatronian ,"Fox people from a dying planet
",Humanoids
385,"Kitsune, 2nd Variant ","A Trickster Fox Spirit that is feared for its mischievous behavior and abilities.
",Humanoids
386,"Kitsune, 4th Variant ","A race of foxes that have accelerated far beyond a normal fox, these foxes have gained strong natural magic power to be able to create illusions and change their forms.
",Humanoids
387,"Kitsune, 7th Variant ","A humanoid race with fox ears, fox tail, both or more anthropomorphic features of a fox.
",Humanoids
388,Kitsune ,"A race of anthropomorphic fox people who have magic in their blood and light shape-changing capabilities.
",Humanoids
389,Kneeforged ,"Bird headed humanoids with great knees
",Humanoids
390,Koborc ,"The weird result of kobolds and orcs mating
",Humanoids
391,Kokiri ,"From a glance, kokiri are indistinguishable from hylian children. Protected by the Great Deku Tree, these innocent kids never truly age.
",Humanoids
392,Komodo ,"Tall, powerful lizard men
",Humanoids
393,"Kor, Variant ","A rock climbing race of elves known for their quick minds and feet.
",Humanoids
394,Kor ,"Kor are athletic climbers, known for their use of rope to swing and climb through the dizzying vertical terrain of Zendikar. Your Kor character has these traits.
",Humanoids
395,Korok ,"Small, peaceful, immortal, and child-like plant creatures. They aren't much for combat or stealth, but it's hard not to smile around them.
",Humanoids
396,Kra 'i' Maghull ,"Quaint monastic aliens
",Humanoids
397,Kri ,"Kri are large and incredibly strong creatures but lack any mental strength.
",Humanoids
398,Krogan ,"As per Mass Effect games.
",Humanoids
399,Kryptonian ,"Kryptonians have a series of traits in common with one another regardless of the light they find themselves under. Kryptonian powers developed under a yellow sun are detailed within the Kryptonian class.
",Humanoids
400,Ktropo ,"Islanders with a touch for poison
",Humanoids
401,Kumakin ,"Savage humanoids with bear-like strength and ferocity.
",Humanoids
402,Kuo-Toa ,"A repugnant race of slimy fish-like humanoids.
",Humanoids
403,Kurent ,"A race of furry, horned beasts with tusks and a long tongue that live in the mountains.
",Humanoids
404,Kyoukotsu ,"""Crazy Bones"" for people who like mismatched skeletons.
",Humanoids
405,"Lamia, 2nd Variant ","Serpentine grace, big tail and a nighttime blanket hog.
",Humanoids
406,Lapine ,"Sleek, fast, and alert, lapine traits reflect their leporine ancestry.
",Humanoids
407,Lecteur'Fou ,"Stout and monocular creatures that compulsively search for knowledge.
",Humanoids
408,Leogrel ,"Leonine mongrel creatures
",Humanoids
409,Leopard-chaun ,"Leopard-chauns are small, smart, and speedy.
",Humanoids
410,Leora ,"Powerful, fearsome feline humanoids as strong as they are fast and frightening.
",Humanoids
411,Leporidian ,"A small race of humanoid rabbits.
",Humanoids
412,"Leprechaun, Variant ","Compulsive tricksters, leprechauns have a knack for getting themselves out of the hot water they all too often find themselves in.
",Humanoids
413,Leshen ,"Creatures that resemble a mishmash of beasts, humanoids and some machine
",Humanoids
414,Leuco ,"Humanoids born of a parasitic plague
",Humanoids
415,Lightborn ,"Beings of positive energy
",Humanoids
416,Lilin ,"Pale, beautiful beings who seduce and feed on the life force of others.
",Humanoids
417,Lilligant ,"Dainty ladies of the forest
",Humanoids
418,Lion Kin ,"As mighty as the beast they resemble, no trial is too great for the Lion Kin.
",Humanoids
419,Lionfolk ,"A proud and honourable race that embraces a cause or oath for life
",Humanoids
420,Litch ,"A humanoid race of undead living upon the coldest summits of the world.
",Humanoids
421,Living Weapon ,"Poor souls fused with magic to be the perfect weapon of destruction.
",Humanoids
422,"Lizardmen, Warhammer ","Lizard-like people spawned from magic pools.
",Humanoids
423,Lopunny ,"Short, graceful, and rather adorable, these timid lagomorphs pack a powerful kick.
",Humanoids
424,Lost Child ,"Physical manifestations of immortal spiritual beings, which look and act like human children.
",Humanoids
425,Lostfolk ,"The race called the lostfolk eat the flesh of their kills, whoever that may be.
",Humanoids
426,"Loxodon, Variant ","Rare elephant humanoids seeking a place in this world.
",Humanoids
427,Lucario ,"Bipedal, aura-manipulating canines with a strong sense of loyalty and justice.
",Humanoids
428,Ludicolo ,"A strange, dance-loving creature that looks like a sombrero-wearing pineapple that some may call ""ludicrous"".
",Humanoids
429,Lumen ,"Gleaming lycanthropes
",Humanoids
430,Lupine ,"A lupine is a wolf-like humanoid.
",Humanoids
431,Lutrinae'l ,"You are majestic, bold, proud; a race of Otter-like humanoids with much power, and a thrive to hunt.
",Humanoids
432,Lynian ,"Your lynian character still retains many traits from its primal feline ancestors, with the added enrichment of higher intelligence thrown in the mix.
",Humanoids
433,Magicia ,"Magic is a part of your being, down to your core.
",Humanoids
434,Magmin ,"Minature pyromaniacs of the elemental plane of fire.
",Humanoids
435,Magnataur ,"This creature has the upper torso, head, and arms of a giant with massive tusks and the body of a great woolly mammoth, similar to a centaur that is a half horse.
",Humanoids
436,Maidmer ,"A reverse mermaid.
",Humanoids
437,Majin ,"Majin race from the Dragonball series.
",Humanoids
438,Makkin ,"Makkin are small bipedal fey-kin with animal features, and expressive faces.
",Humanoids
439,Malformed Goliath Half-Dragon ,"A powerful beast poorly merged with their humanoid forms.
",Humanoids
440,Manakete ,"A race of draconic humanoids with awesome magical power.
",Humanoids
441,Manas ,"A race created through the convergence of wandering thoughts, memories, souls, and excessive magical energies.
",Humanoids
442,Mancore ,"Tall, wise-looking men and woman that have a horn sticking from their foreheads.
",Humanoids
443,Mandalorian ,"Human-like people descended from warlords
",Humanoids
444,Mantis ,"Humanoids predators based off the lethal mantis.
",Humanoids
445,Maractus ,"Flowering humanoid cacti with thorns as sharp as their dance moves.
",Humanoids
446,Marilith ,"Formed from the darkness of the Abyss, your marilith character has several traits that attest to its demonic origins.
",Humanoids
447,Mawile ,"Small, deceptive pokemon with huge mouths growing on the back of their heads.
",Humanoids
448,Mazohk ,"A hardy race of aberrated humans, strong in magic and tribal in culture.
",Humanoids
449,Medusa ,"As deadly as they are ravishing, a serpent-haired medusa suffers an immortal curse brought on by its own vanity.
",Humanoids
450,Meloetta ,"Small mythical creatures with a beautiful voice. Depending on which breed you see, you'll either see powerful psychic attacks or graceful physical attacks.
",Humanoids
451,Meowth ,"Adorable yet fickle feline Pokemon who bring luck and trouble in equal measure.
",Humanoids
452,Merblin ,"Aquatic goblinoids of the murky depths.
",Humanoids
453,Merdragon ,"Mermaid-like water dragons
",Humanoids
454,Merfolk Erectus ,"Amphibious coastal merfolk of the shallows and the shores.
",Humanoids
455,Mewmans ,"""It's gonna get a little weird, gonna get a little wild, I ain't from around here, I'm from another DIMENSION!""
",Humanoids
456,Mikoto ,"Carefree humanoids from the moon. Peaceful, artistic and sportive.
",Humanoids
457,Mimic ,"A more intelligent specimen of a well-known species of shapeshifting predators.
",Humanoids
458,Miqo'te ,"A race that inherited feline features through their ancestry and traveled all the way from Eorzea to the D&D realm.
",Humanoids
459,Mizton ,"Horned cats, cousins of the kirre.
",Humanoids
460,"Mobian, Variant ","An anthropomorphic race with many different animal subraces based on the Sonic The Hedgehog franchise.
",Humanoids
461,Mobian ,"Mobians are melee fighters and mages by nature. They tend to lean towards melee attacks and magical buffs.
",Humanoids
462,Mobile Water Weird ,"A Mobile Water Weird is a Water Weird put into a special suit, allowing it to move around on land.
",Humanoids
463,Mogma ,"These mole men, with their powerful upper bodies, burrow through dirt and sand at incredible speed.
",Humanoids
464,Moldaren ,"A long-lived and durable fungoid race.
",Humanoids
465,Mongrelfolk ,"Less a race than a convenient category, the highly-variable mongrelfolk consist of every being who counts multiple types of humanoids among their ancestors.
",Humanoids
466,Moon Folk ,"Otherworldly, but mute stargazers
",Humanoids
467,Moove ,"Aberrations from illithid experiments
",Humanoids
468,Mossfolk ,"A race of peaceful and quiet forest dwellers.
",Humanoids
469,Mousefolk ,"Furry, nimble, small, retiring and agreeable race.
",Humanoids
470,Mudborn ,"A cute, little salamander with the most precious face in the world, a loyal friend to those they trust.
",Humanoids
471,Munchkins ,"Actually regular sized people who just have a height cap
",Humanoids
472,Murloc ,"Murlocs often hunt in groups, but, if hunting a stealthy prey, will split up and can easily be picked off.
",Humanoids
473,Myxapia ,"A race of intelligent ooze-like people
",Humanoids
474,Na'kii ,"A race of humanoid forest guardians
",Humanoids
475,"Namekian, Variant ","These green-skinned humanoids hail from a far-away planet, and are renowned for their regenerative capabilities and manipulation of ki.
",Humanoids
476,Namekian ,"These green-skinned humanoids hail from a far-away planet, and are renowned for their regenerative capabilities and manipulation of ki.
",Humanoids
477,Navigator ,"An offshoot of the human race, navigators possess a third eye that can see the supernatural.
",Humanoids
478,"Neko, Variant ","Anime cat people.
",Humanoids
479,Neko ,"Anime cat people.
",Humanoids
480,Nephalem (3.5e Race),"
",Humanoids
481,Nephilim ,"Those who were cast out. The spawn of a celestial and a humanoid. A Nephilim.
",Humanoids
482,Nephilim of Raziel ,"The children of humans and the angel Raziel.
",Humanoids
483,Neshii ,"Reptilian humanoids who watched worlds die and passed mental strength on
",Humanoids
484,Newro ,"The genius black mice
",Humanoids
485,Nightbleeder ,"Those who survive radiation with pitch black blood
",Humanoids
486,Niphin ,"A race of humanoid beings made of solidified magical energy.
",Humanoids
487,Njutco ,"From the remote edges of civilization, these monkey-like creatures climb and trick their way to notoriety.
",Humanoids
488,Nobodies ,"Nobodies are humanoids who have lost their Heart through abnormal means.
",Humanoids
489,Nobody ,"A race of hollowed humanoids.
",Humanoids
490,Nocturne ,"Humanoids of the Shadowfell, infused with shadowstuff.
",Humanoids
491,Nohr ,"You are the remains of a mighty race, and you have not aged well.
",Humanoids
492,Norowareta Banshee ,"Souls bound by tragedy, and cursed with undeath.
",Humanoids
493,Novakid ,"Primordial humanoids of pure solar energy that function as small suns.
",Humanoids
494,Noxian ,"Monsters of the Night that scare and cause fright. Ooga Booga!
",Humanoids
495,NuMou ,"Short, intelligent dog-like humanoids in touch with arcana
",Humanoids
496,Nuzulk ,"Pranksters of the night
",Humanoids
497,"Nymph, 2nd Variant ","This variant of the keeps a lot from the other Nymph class on this site, however, this variant was to more greatly embrace the Nymphs grace and ability to charm other races.
",Humanoids
498,Nymph ,"Your nymph character has a variety of supernatural abilities, due to their fey blood.
",Humanoids
499,O'korn ,"An o'korn is strong in both body and mind, their watermark making them more durable than most.
",Humanoids
500,Ocarin ,"Naga like sea creatures that are often xenophobic.
",Humanoids
501,Occip ,"Humanoids covered in burns and eyes
",Humanoids
502,Ocelotl ,"The Ocelotl are quick, strong and savage defenders of the wild, resembling humanoid jungle felines.
",Humanoids
503,Omikyr ,"Fey creatures that vaguely resemble humanoids with the heads of deer.
",Humanoids
504,Oovi-Kat ,"The Oovi-Kat are a race known for there individuality... and there disguises.
",Humanoids
505,Oozeling ,"A race of stout and intelligent humanoids originally hailing from the Far Realm.
",Humanoids
506,"Orc, Variant ","The Orcs are an honor fulled race from the World of Warcraft series.
",Humanoids
507,Orristaten ,"A typical member of the orristaten people
",Humanoids
508,Otterfolk ,"Otterfolk were first created when a wizard gave human intelligence and dexterity to a normal otter.
",Humanoids
509,Owlfolk ,"Wise humanoids with plumage, claws, wings, and other features reminiscent of owls
",Humanoids
510,Ozwok ,"A vulture-like race that are more minotaur than birdfolk.
",Humanoids
511,Pandaren ,"Hailing from the Pandaren Empire they are humanoid pandas on the World of Warcraft series.
",Humanoids
512,Pandroums ,"Panda people of a continent beyond
",Humanoids
513,Pangaloid ,"Chitin plated humanoids.
",Humanoids
514,Papallona ,"The beautiful butterfly nymphs of the East.
",Humanoids
515,Parasite ,"Due to the limiting nature of your biological structure, you are incapable of choosing any class other than Parasite, which is likewise exclusive to this race. You can access Parasite (5e Class) here: https://www.dandwiki.com/wiki/Parasite_(5e_Class)
",Humanoids
516,Philka ,"A race of humanoid faeries who are incredibly attuned to nature around them.
",Humanoids
517,Phoelarch ,"Humanoids believed to be descended from the legendary phoenix.
",Humanoids
518,Phoenix-reborn ,"The phoenix-reborn take on a few traits because of their phoenix abilities.
",Humanoids
519,Phoenixhearted ,"Tall, wise, and colorful, the phoenixhearted embody the vibrancy of their mythical predecessor.
",Humanoids
520,Phykke ,"Phykkes are goblinoids, stronger than goblins and more dexterous than hobgoblins.
",Humanoids
521,Plaguespreader ,"Undead bringers of disease and pestilence
",Humanoids
522,"Plantling, Variant ","""I am a plant too. If you prick me, do I not sap?""
",Humanoids
523,Plumes ,"Bird armed people with gliding ability
",Humanoids
524,Pnévma ,"Creatures of Light, magic oriented radiant spellcasters.
",Humanoids
525,Primarina ,"Beautiful mermaid-like creatures whose most powerful weapon is their singing voice.
",Humanoids
526,Procyon ,"Procyons are bipedal raccoons with a deep connection to the night, and some magic.
",Humanoids
527,Prothean ,"The long-dead rulers of the galaxy.
",Humanoids
528,Pseudoimmortal ,"A race of humanoids with dark purple cracks adorning their body and a strange arcane power lying within them.
",Humanoids
529,Pseudolich ,"A Pseudolich is an alchemically created undead, dedicated to purpose.
",Humanoids
530,Pump-Kin ,"A tall, lanky race of terrifying, pumpkin-headed humanoids born from an unjust end.
",Humanoids
531,Quaggoth ,"Savage and territorial, quaggoths climb the chasms of the Underdark. They maul their foes in a frenzy, becoming even more murderous in the face of death. They will make great Monks and Druids with their sheer power and wisdom bonus, alongside Battle Clerics, Rangers or even Fighters.
",Humanoids
532,Quagsire ,"Carefree and dopey creatures who would much rather relax in muddy water than fight.
",Humanoids
533,Quickling ,"Tiny fey that are as fast as they are mischievous.
",Humanoids
534,Quillback ,"A race of porcupine-like humanoids.
",Humanoids
535,Rabbitfolk ,"Pleasant and laid back, there are few people that hate rabbitfolk.
",Humanoids
536,Rahkshi ,"Reptilian constructs made for destruction
",Humanoids
537,Raitohorudā ,"The bringers of light and peace.
",Humanoids
538,Rakaka ,"Humanoid naked mole rats
",Humanoids
539,"Rakshasa, Variant ","The cat-shaped demons known as rakshasa are manipulative, tiger-like fiends.
",Humanoids
540,Rakshasa ,"A rakshasa is a human-feline fiend hybrid, fearsome and hale in stature
",Humanoids
541,Rakshia ,"Insect humanoids that take a liking to extreme environments
",Humanoids
542,Ralis ,"Artificially created immortals seeking their place in the world.
",Humanoids
543,Raptoran ,"Avian humanoids that love the free sky
",Humanoids
544,Raptorborn ,"Forest-dwelling anthropoid raptors as skilled in trade as they are in combat.
",Humanoids
545,Raptorkin ,"Raptorkin are the most intelligent species of dinosaur alive.
",Humanoids
546,Rassakar ,"Saurian tribal peoples with raptor speeds
",Humanoids
547,"Ratfolk, Variant ","Short, scrawny humanoids with ratlike physical features.
",Humanoids
548,Ratfolk ,"Quick and silent, ratfolk exist as outsiders no matter where they are, but they let nothing get in their way.
",Humanoids
549,Ratmen ,"As sneaky and agile as a rat but you are a humanoid.
",Humanoids
550,Raven Children ,"Raven children are often feared for their ties with death and many use this to their advantage to intimidate others.
",Humanoids
551,Reindeerfolk ,"Humanoid reindeer that embody all that is the holiday spirit.
",Humanoids
552,"Revenant, Variant ","The soul of a mortal who met a cruel and undeserving fate.
",Humanoids
553,Revenant ,"The soul of a mortal who met a cruel and undeserving fate.
",Humanoids
554,Rhino-Folk ,"You are a tough humanoid with one big horn and a smaller horn behind
",Humanoids
555,Rhinokin ,"Humanoid rhino people.
",Humanoids
556,Ricta ,"Extremely muscular and aggressive lizard-like humanoids.
",Humanoids
557,"Risen Animal, Variant ","Animals transformed into humanoids by magic-users.
",Humanoids
558,Risen Animal ,"Animals transformed into humanoids by magic-users.
",Humanoids
559,"Rito, Variant ","Avian humanoids that combine their prowess in the air with their shortbow skills.
",Humanoids
560,Rito ,"This avian race comes in diverse varieties, and most are capable of winged flight.
",Humanoids
561,Rogren ,"Rogern are highly intelligent creatures that are also incredibly strong and durable.
",Humanoids
562,Roo ,"Nomadic Humanoid Kangaroos.
",Humanoids
563,Roserade ,"A bipedal bouquet of roses that is just as deadly as it is beautiful.
",Humanoids
564,Ruler ,"Reborn and undead, rulers of eras now past walk the Material Plane again, ready to rebuild their kingdoms.
",Humanoids
565,Runeterra: Demacian ,"Demacians often have great skill working in leading and following as one unit.
",Humanoids
566,Runeterra: Frelijordian ,"Strong is useful to describe them, but not quite enough.
",Humanoids
567,Runeterra: Ionian ,"Grace, wisdom, and skill, these are the pillars that support an Ionian.
",Humanoids
568,Runeterra: Noxian ,"Noxians have great skill in lying and brutalizing!
",Humanoids
569,Runeterra: Rakkor ,"Weapon masters and mighty warriors make up the tribe of the Rakkor.
",Humanoids
570,Runeterra: Yordle ,"Jovial, fierce critters who can surprise the most unsurprised.
",Humanoids
571,Rynogg ,"A solitary and unique race, with extremely brightly colored skin.
",Humanoids
572,Ryujin ,"A race of Oriental Draconic humanoids.
",Humanoids
573,S'Tek ,"S'Tek are a race of chameleon-like humanoids who inhabit jungles and other wooded regions.
",Humanoids
574,Saberon ,"Vaguely feline beasts who have adapted to nearly all of Draenor’s diverse environments.
",Humanoids
575,Sahuagin ,"A fish-like monstrous humanoid species that lives in oceans, seas, underground lakes, and underwater caves
",Humanoids
576,Saiyan ,"Legends speak of their unparalleled skills in combat, their unshakeable pride, and their ferocious appetite.
",Humanoids
577,Salamanderfolk ,"Simple amphibian humanoids
",Humanoids
578,Salazzle ,"Venomous reptilian pokemon whose pheromones can influence the thoughts and actions of beasts and even people.
",Humanoids
579,Sangheili ,"The sangheili are well suited for combat, as they are proud, strong, agile, and very fierce.
",Humanoids
580,Sanujae ,"Sanujae are small squirrel people with an honorable martial society.
",Humanoids
581,San’Shyuum ,"The prophetic masters of the Covenant.
",Humanoids
582,Sasquatch ,"Reclusive monsters of the wilderness finally growing to prominence.
",Humanoids
583,Satori ,"Thoughts, memories; the mind cannot escape your third eye.
",Humanoids
584,Scalekin ,"Descendants of an ancient race of dragons.
",Humanoids
585,Sceptile ,"Snobby lizards of the trees
",Humanoids
586,Scion of the Old Ones ,"Creatures of twisted, alien magic with horrifying forms and reality-bending abilities.
",Humanoids
587,Scorpion-kin ,"A race of humanoid scorpions
",Humanoids
588,Scorpius ,"Fanged scorpion people
",Humanoids
589,Scorpkin ,"
",Humanoids
590,Scrafty ,"With a rude attitude and saggy skin-pants, these punkish lizard pokemon defend their territory by spitting acid and delivering powerful kicks.
",Humanoids
591,Scro ,"Orcs in space!
",Humanoids
592,Scyther ,"Fast and furious blade hands
",Humanoids
593,Se'Krai ,"A vaguely reptilian race, surrounded by a dark past...
",Humanoids
594,SeaWings ,"
",Humanoids
595,Seelie (3.5e Race),"
",Humanoids
596,Seiddrow ,"Drow and siren offspring
",Humanoids
597,Selach ,"Humanoid shark poeple.
",Humanoids
598,Selachin ,"Waterborne humanoids that have a striking resemblance to sharks.
",Humanoids
599,Selkie ,"Aquatic creatures that shapeshift between human and seal.
",Humanoids
600,Seraphim ,"Benevolent Angels, that have been born into a flesh and blood, earthly body.
",Humanoids
601,Serene ,"Your beauty as a female is unparalleled by Human and Elven standards. This beauty coupled with your magnanimous aura give you a massive Charisma boost. Your voice can be the most enticing and dangerous aspect of who you are.
",Humanoids
602,Serfrar ,"The child of a dwarven and elvish heritage.
",Humanoids
603,Sergal ,"Evolved humans that accepted their wild side
",Humanoids
604,Shadow-Serf ,"Unnatural doppelgangers created by powerful wizards to be unfailingly faithful servants.
",Humanoids
605,Shadow ,"You're an Elf-Fiend hybrid in this unholy combination.
",Humanoids
606,Shadow Walker ,"Beings of the void
",Humanoids
607,"Shadowborn, Variant ","Shadowborn are a race born of the Shadowfell. These elf-like beings feel more comfortable and even enjoy being in the shadows.
",Humanoids
608,Shadowborn ,"Shadowborn are creatures born of shadow, awoken from the deepest, darkest parts of the earth
",Humanoids
609,Shaede Folk ,"Humanoid husks born of failed reincarnation
",Humanoids
610,Silverblight ,"Silverblight are a race of winter lycanthropes that have lost their ability to transform after being cursed by a powerful black dragon.
",Humanoids
611,Silvet ,"The Silvets are a creative, energetic race of humanoids who share a special bond with peace.
",Humanoids
612,Sinkro ,"Selfless charitable humanoid beings.
",Humanoids
613,"Siren, Borderlands Variant ","Siren. A wonderful specimen of what the mind can do to a person.
",Humanoids
614,Siren ,"A merfolk subspecies composed of females, each are masters of charm and beguilement.
",Humanoids
615,"Skaven, Variant ","While breeding practices vary greatly every skaven usually shares a common share of strengths and weakness.
",Humanoids
616,Skoros ,"Yuan-ti purebloods but with insects and actually balanced.
",Humanoids
617,Skull Kid ,"These cursed, magical children wander through forests for centuries, playing songs and tricks alike.
",Humanoids
618,Slakoth ,"Slow moving sloth pokemon
",Humanoids
619,Slate ,"Humanoid creatures that have incredible strength of personality but lack a true heart. They are the ultimate performers and masters of theatrics.
",Humanoids
